Timestamp,Name of Food Retailer,Address,Date Assessed,Type of Store,What type of Specialty Food Store?,EBT Accepted?,Number of Locations (chain?),Median Price of a Dozen Eggs,Median Price of a Loaf of Bread,Median Price of a Gallon of Milk,Milk Standardized_Gallon,Median Price of Oranges,Orange Standardized_lbs,Median Price of Organic Oranges,Organic Oranges Standardized_lbs,Median Price of Avocados,Standardized Avocado_each,Median Price of Organic Avocados,Standardized Organic Avocado_each,Median Price of Carrots,Standardized Carrots_lbs,Median Price of Organic Carrots,Standardized Organic Carrots_lbs,Median Price of Broccoli,Standardized Brocolli_lbs,Median Price of Organic Broccoli,Standardized Organic Brocolli_lbs,Is there signage in other languages than English?,"If so, what languages?",Access Notes,Is there fresh produce available?,What percentage of the store is produce?,Is there organic produce available?,Is there local produce available?,How many types of fresh produce are available?,Is there an ethnic section?,Are there options besides national name brand ethnic foods? ,What ethnic food nationalities are available?,Selection Notes,Is there signage or visible documentation of environmental work or actions?,"If so, what kind of environmental work?",Is there signage or visible documentation of social justice work or actions?,"If so, what kind of social justice work?",General Notes,,lon,lat,address
1/27/2022 12:38,Mission Foodhall,"3100 16th St, San Francisco, CA 94103",1/26/2022,Specialty Food Store,Foodhall,No,1,7.49,9.99,5.49 (half),10.98,3.49 (/lb),3.49,3.49 (/lb),3.49,3.00 (each),3,3.00 (each),3,2.99 (per bunch),2.99,2.99 (per bunch),2.99,5.99 (/lb),5.99,5.99 (/lb),5.99,No,,,Yes,<10%,Yes,Can't tell...,25,No,,,,No,,No,,,,-122.4221052,37.7651138,"3100 16th st, san francisco, ca 94103, usa"
1/27/2022 12:41,Fred’s Liquors & Delicatessen,"200 Valencia St, San Francisco, CA 94103",1/26/2022,Grocery Store,,No,1,6.99,5.69,7.49,7.49,1 (each),2,,,,,,,,,,,,,,,No,,,Yes,<10%,No,No,5,No,,,,No,,No,,Clerk knew costumers,,-122.4225559,37.7697382,"200 valencia st, san francisco, ca 94103, usa"
1/27/2022 12:43,E And M Market,"399 Valencia St, San Francisco, CA 94103",1/26/2022,Convenience Store,,Yes,1,4.99,5.99,5.69,5.69,0.50 (each),1,,,,,,,,,,,,,,,No,,Music playing Indian music over loud speakers,Yes,<10%,No,No,5,No,,,Most fruits almost rotten,No,,No,,,,-122.4218616,37.7666618,"399 valencia st, san francisco, ca 94103, usa"
1/27/2022 12:46,K & H Liquor,"501 Valencia St, San Francisco, CA 94110",1/26/2022,Convenience Store,,No,1,,,3.50 (half),7,,,,,,,,,,,,,,,,,Yes,Spanish,Spanish spoken as well,No,0,,,0,Yes,No,Hispanic/Latinx,,No,,No,,,,-122.421707,37.7647523,"501 valencia st, san francisco, ca 94103, usa"
1/27/2022 12:48,Valencia Whole Foods,"999 Valencia St, San Francisco, CA 94110",1/26/2022,Grocery Store,,Yes,1,5.99,5.49,8.99,8.99,3.99 (/lb),3.99,3.99 (/lb),3.99,2.14 (each),2.14,2.14 (each),2.14,.99(/lb),0.99,.99(/lb),0.99,2.99(/lb),2.99,2.99(/lb),2.99,No,,,Yes,25-50%,Yes,Can't tell...,50+,No,,,,Yes,Organic Signage,No,,Clerk knew costumers,,-122.42097,37.7570345,"999 valencia st, san francisco, ca 94110, usa"
1/27/2022 12:50,Decamere Market,"1001 Valencia St, San Francisco, CA 94110",1/26/2022,Convenience Store,,No,1,,,2.59 (half),5.18,,,,,,,,,,,,,,,,,No,,,No,0,No,No,0,No,,,,Yes,Organic Signage,No,,,,-122.4209525,37.7568092,"1001 valencia st, san francisco, ca 94110, usa"
1/27/2022 12:52,Indian Spices and Grocery,"3265 22nd St, San Francisco, CA 94110",1/26/2022,Specialty Food Store,Ethnic Store,No,1,,,,,,,,,,,,,,,,,,,,,Yes,Hindi,,Yes,<10%,No,Can't tell...,15,Yes,Yes,Indian,,No,,Yes,Local Political Activism,,,-122.4202764,37.7552185,"3265 22nd st, san francisco, ca 94110, usa"
1/27/2022 12:55,Valencia Farmer’s Market,"1299 Valencia St, San Francisco, CA 94110",1/26/2022,Grocery Store,,No,1,4.74,4.69,5.99,5.99,1.59 (/lb),1.59,,,1.69 (each),1.69,,,1.29 (/lb),1.29,,,2.49(/lb),2.49,,,No,,,Yes,>50%,Yes,Countries listed,50+,Yes,Yes,"Hispanic/Latinx, Chinese, Indian, Japanese, Southeast Asian",,Yes,"Recycling Program, lists country of origin for all produce",No,,,,-122.4205147,37.7522495,"1299 valencia st, san francisco, ca 94110, usa"
1/27/2022 12:57,Anthony’s Cookies,"1417 Valencia St, San Francisco, CA 94110",1/26/2022,Specialty Food Store,Bakery,No,2,,,20.00 ($5 per quart),20,,,,,,,,,,,,,,,,,No,,,No,0,No,No,0,No,,,,No,,No,,Only sell cookies and milk,,-122.4200411,37.7502024,"1417 valencia st, san francisco, ca 94110, usa"
1/27/2022 12:59,Valencia Grocery,"1300 Valencia St, San Francisco, CA 94110",1/26/2022,Convenience Store,,No,1,3.99,,3.99,3.99,,,,,,,,,,,,,,,,,No,,,No,0,No,No,0,No,,,,No,,Yes,Local Political Activism,,,-122.4208728,37.751953,"1300 valencia st, san francisco, ca 94110, usa"
1/27/2022 13:01,Arizmendi Bakery & Pizzeria,"1272 Valencia St, San Francisco, CA 94110",1/26/2022,Specialty Food Store,Bakery,No,4,,4.5,,,,,,,,,,,,,,,,,,,Yes,Spanish,,No,0,No,No,0,No,,,,No,,Yes,"COVID-19 resources, worker coop signage",,,-122.4208825,37.7525531,"1272 valencia st, san francisco, ca 94110, usa"
1/27/2022 13:02,Mr. Liquor,"1200 Valencia St, San Francisco, CA 94110",1/26/2022,Convenience Store,,No,1,,,,,,,,,,,,,,,,,,,,,No,,,No,0,No,No,0,No,,,,Yes,Plastic Revolution sign,Yes,National Political Activism,,,-122.421036,37.7535396,"1200 valencia st, san francisco, ca 94110, usa"
1/27/2022 13:04,Golden Eagle Market,"896 Valencia St, San Francisco, CA 94110",1/26/2022,Convenience Store,,No,1,,5.99,5.75 (half),11.5,0.75 (each),1.5,,,,,,,,,,,,,,,No,,,Yes,<10%,No,No,7,No,,,,No,,Yes,Large BLM Sign,,,-122.4215189,37.7586205,"896 valencia st, san francisco, ca 94110, usa"
1/28/2022 11:06,Rhea’s Market & Deli,"800 Valencia St, San Francisco, CA 94110",1/26/2022,Convenience Store,,No,1,3.69,,4.69 (half),9.38,,,,,,,,,,,,,,,,,No,,,No,0,No,No,0,No,,,,No,,No,,,,-122.4216185,37.7599395,"reboot, 800 valencia st, san francisco, ca 94110, usa"
